id,name,category,subcategory,neighborhood,description,address,link,latitude,longitude,submitted_by_fid,submitted_by_username,submitted_by_display_name,submitted_by_pfp_url,featured,status,created_at
r0me0000-0000-0000-0000-000000000011,Trapizzino,Food & Drink,Street Food,Trastevere,"Triangular pizza-bianca pocket stuffed with stew. The pollo alla cacciatora is the canonical order. Eat it standing on the street with a Menabrea.",Piazza Trilussa 46 00153 Roma,https://www.trapizzino.it,41.8898,12.4704,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-05 20:00:00
r0me0000-0000-0000-0000-000000000012,Da Enzo al 29,Food & Drink,Italian,Trastevere,"Twelve tables. Cash only. Carbonara made with guanciale from a place they refuse to name. Lunch starts at noon — be there at 11:50.",Via dei Vascellari 29 00153 Roma,https://www.daenzoal29.com,41.8893,12.4727,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-05 12:00:00
r0me0000-0000-0000-0000-000000000013,Bar San Calisto,Nightlife,Bar,Trastevere,"€2.50 birra and Roman regulars who have been arguing at the same outside table since 1986. Open until 1:30am. Do not order a cocktail.",Piazza di San Calisto 4 00153 Roma,,41.8884,12.4691,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-05 23:00:00
r0me0000-0000-0000-0000-000000000014,Suppli Roma,Hidden Gems,Street Food,Trastevere,"A hole in the wall that does one thing — supplì, the rice-and-mozzarella croquette — and does it better than anyone in the rione. €2 each.",Via di San Francesco a Ripa 137 00153 Roma,,41.8898,12.4677,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-06 18:00:00
r0me0000-0000-0000-0000-000000000015,Antica Caciara Trasteverina,Shopping,Specialty Food,Trastevere,"Hundred-year-old cheese shop. The owner will cut you slivers of pecorino romano DOP and explain why the supermarket version is a crime.",Via di San Francesco a Ripa 140 00153 Roma,,41.8895,12.4673,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-06 11:00:00
r0me0000-0000-0000-0000-000000000016,La Bottega del Caffè,Coffee,Cafe,Monti,"On Piazza Madonna dei Monti, the social center of the rione. Sit outside, order a caffè shakerato, watch the locals talk for two hours.",Piazza Madonna dei Monti 5 00184 Roma,,41.8946,12.4929,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-07 10:00:00
r0me0000-0000-0000-0000-000000000017,Trattoria Monti,Food & Drink,Italian,Monti,"Marche cuisine in the heart of Rome. The tortello al rosso d'uovo — a single giant raviolo with a runny yolk — is on every food critic's top-ten list.",Via di San Vito 13a 00185 Roma,,41.8981,12.5003,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-07 13:30:00
r0me0000-0000-0000-0000-000000000018,Ai Tre Scalini,Nightlife,Wine Bar,Monti,"Tiny wine bar that overflows onto the street most nights. Polpette, salumi board, a glass of Cesanese. The waitstaff will judge your wine choice — accept it.",Via Panisperna 251 00184 Roma,https://www.aitrescalini.org,41.8945,12.4929,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-07 21:00:00
r0me0000-0000-0000-0000-000000000019,Mercato Monti,Shopping,Vintage Market,Monti,"Weekend vintage and design market. Saturdays and Sundays 10am-8pm. Independent designers, vinyl, mid-century lamps. Cash gets better prices.",Via Leonina 46 00184 Roma,https://www.mercatomonti.com,41.8948,12.4931,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-08 11:00:00
r0me0000-0000-0000-0000-000000000020,Fafiuché,Nightlife,Wine Bar,Monti,"Piedmont-focused wine list. Order the vitello tonnato, then a glass of something Nebbiolo-adjacent the owner picks for you. Closed Sundays.",Via della Madonna dei Monti 28 00184 Roma,,41.8961,12.4953,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-08 20:00:00
r0me0000-0000-0000-0000-000000000021,Mercato Testaccio,Shopping,Food Market,Testaccio,"Modern enclosed market that replaced the old open-air one. The Roman matriarchs do their shopping here at 9am. By 1pm it's lunch counters.",Via Beniamino Franklin 12e 00153 Roma,https://www.mercatotestaccio.it,41.8786,12.4756,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-09 11:00:00
r0me0000-0000-0000-0000-000000000022,Mordi e Vai,Food & Drink,Sandwich,Testaccio,"Inside Mercato Testaccio. The allesso di scottona — slow-cooked beef on a roll dipped in its own broth — is the platonic Roman lunch. €5.",Box 15 Mercato Testaccio Roma,https://www.mordievai.it,41.8788,12.4757,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-09 12:30:00
r0me0000-0000-0000-0000-000000000023,Flavio al Velavevodetto,Food & Drink,Italian,Testaccio,"Built into the side of Monte Testaccio — the ancient Roman amphora dump. Order the tonnarelli cacio e pepe and pretend you don't notice the pottery in the walls.",Via di Monte Testaccio 97 00153 Roma,https://www.ristorantevelavevodetto.it,41.8763,12.4760,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-09 14:00:00
r0me0000-0000-0000-0000-000000000024,Da Felice a Testaccio,Food & Drink,Italian,Testaccio,"Roman classics, no shortcuts. The cacio e pepe is finished tableside. Reservations mandatory; the dining room is small and the regulars are protective.",Via Mastro Giorgio 29 00153 Roma,https://www.feliceatestaccio.com,41.8778,12.4760,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-10 13:30:00
r0me0000-0000-0000-0000-000000000025,Pizzeria Da Remo,Food & Drink,Pizza,Testaccio,"Roman thin-crust at full Roman volume. Order on the tear-off paper menu with a pencil. Bruschetta arrives in 90 seconds, pizza in five minutes.",Piazza di Santa Maria Liberatrice 44 00153 Roma,,41.8779,12.4768,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-10 21:00:00
r0me0000-0000-0000-0000-000000000026,Roseto Comunale,Outdoors,Garden,Testaccio,"Public rose garden on the Aventine. Free, open April through June and again in autumn. Best at golden hour — the Circus Maximus is right below.",Via di Valle Murcia 6 00153 Roma,,41.8842,12.4805,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-10 17:30:00
r0me0000-0000-0000-0000-000000000027,Aventine Keyhole,Hidden Gems,Viewpoint,Testaccio,"Look through the keyhole of the Knights of Malta priory door — St. Peter's dome is framed perfectly down a hedge tunnel. Free, ten seconds, worth it.",Piazza dei Cavalieri di Malta 4 00153 Roma,,41.8839,12.4780,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-11 09:00:00
r0me0000-0000-0000-0000-000000000028,Necci dal 1924,Food & Drink,Cafe,Pigneto,"Pasolini's old hangout. Now a full-day place — coffee in the morning, aperitivo at 7, late dinner. The garden in back is the secret.",Via Fanfulla da Lodi 68 00176 Roma,https://www.necci1924.com,41.8896,12.5298,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-11 19:00:00
r0me0000-0000-0000-0000-000000000029,Co.So Cocktails & Social,Nightlife,Cocktail Bar,Pigneto,"Massimo D'Addezio's bar. The Carbonara Sour — vodka infused with bacon — sounds like a joke and isn't. Tiny, packed, worth the elbows.",Via Braccio da Montone 80 00176 Roma,,41.8893,12.5306,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-12 22:00:00
r0me0000-0000-0000-0000-000000000030,Pigneto Quarantuno,Food & Drink,Italian,Pigneto,"Neighborhood-priced cooking from a chef who used to be at Glass Hostaria. The pasta-of-the-day is always the right call.",Via del Pigneto 41 00176 Roma,,41.8894,12.5314,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-12 13:30:00
r0me0000-0000-0000-0000-000000000031,Pizzarium Bonci,Food & Drink,Pizza al Taglio,Prati,"Gabriele Bonci's standing-room-only counter. Pizza by weight, sliced with scissors, eaten on the street. The mortadella with pistachio cream is the canonical first slice.",Via della Meloria 43 00136 Roma,https://www.bonci.it,41.9075,12.4477,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-13 13:00:00
r0me0000-0000-0000-0000-000000000032,Gelateria dei Gracchi,Food & Drink,Gelato,Prati,"Pistachio is sourced from Bronte; nocciola from Piedmont. No artificial colors — if it's grey it's because real pistachio is grey. Cash preferred.",Via dei Gracchi 272 00192 Roma,https://www.gelateriadeigracchi.it,41.9075,12.4615,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-13 16:00:00
r0me0000-0000-0000-0000-000000000033,200 Gradi,Food & Drink,Sandwich,Prati,"Panini shop with a 50-item menu. Order the n.34 'Pulled Pork all'Italiana' or whatever the staff recommends when you look indecisive.",Piazza del Risorgimento 3 00192 Roma,https://www.duecentogradi.it,41.9079,12.4582,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-13 12:00:00
r0me0000-0000-0000-0000-000000000034,Vatican Museums,Culture,Museum,Prati,"Book the 8am early-entry slot online. Skip the Sistine queue, see the Raphael Rooms while they're empty. Allow three hours minimum, bring water.",Viale Vaticano 00165 Roma,https://www.museivaticani.va,41.9065,12.4536,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-14 08:00:00
r0me0000-0000-0000-0000-000000000035,Castel Sant'Angelo,Culture,Landmark,Prati,"Hadrian's mausoleum, then a papal fortress, then a prison, now a museum. The rooftop terrace has the best free-standing view of St. Peter's.",Lungotevere Castello 50 00193 Roma,https://castelsantangelo.cultura.gov.it,41.9031,12.4663,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-14 16:00:00
r0me0000-0000-0000-0000-000000000036,Mercato Esquilino,Shopping,Food Market,Esquilino,"Rome's most international market — Bangladeshi spice stalls next to Roman butchers next to Chinese greengrocers. Closed Sundays.",Via Principe Amedeo 184 00185 Roma,,41.8961,12.5051,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-15 10:30:00
r0me0000-0000-0000-0000-000000000037,Panella,Food & Drink,Bakery,Esquilino,"Bakery and salumeria with a wine list. The pizza bianca is laminated like a croissant. Sit-down breakfast with a view of Santa Maria Maggiore.",Via Merulana 54 00185 Roma,https://www.panellaroma.com,41.8945,12.5044,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-15 09:00:00
r0me0000-0000-0000-0000-000000000038,Pommidoro,Food & Drink,Italian,San Lorenzo,"Pasolini's other regular spot. Family-run since 1890. The bucatini all'amatriciana is non-negotiable. Cash only.",Piazza dei Sanniti 44 00185 Roma,,41.8997,12.5147,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-16 13:30:00
r0me0000-0000-0000-0000-000000000039,Said dal 1923,Hidden Gems,Chocolate,San Lorenzo,"Working chocolate factory in a 1920s industrial building. Sit at a table inside the production hall, drink hot chocolate the texture of pudding.",Via Tiburtina 135 00185 Roma,https://www.said.it,41.8989,12.5142,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-16 17:00:00
r0me0000-0000-0000-0000-000000000040,Tram Tram,Food & Drink,Italian,San Lorenzo,"Pugliese cooking on the tram tracks. The orecchiette with cime di rapa and the seafood antipasti come out together. Loud, fun, family-run.",Via dei Reti 44 00185 Roma,https://www.tramtram.it,41.9006,12.5163,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-16 21:00:00
r0me0000-0000-0000-0000-000000000041,Eataly Roma,Shopping,Food Hall,Ostiense,"Four floors of Italian food retail next to Termini-Ostiense. Useful for a one-stop edible-souvenir run; less interesting than a real market.",Piazzale 12 Ottobre 1492 00154 Roma,https://www.eataly.net,41.8693,12.4827,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-17 11:00:00
r0me0000-0000-0000-0000-000000000042,Centrale Montemartini,Culture,Museum,Ostiense,"Capitoline Museum overflow installed inside a decommissioned 1912 power station. Marble emperors against turbines. Almost always empty.",Via Ostiense 106 00154 Roma,https://www.centralemontemartini.org,41.8624,12.4794,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-17 14:00:00
r0me0000-0000-0000-0000-000000000043,Doppiozeroo,Coffee,Cafe,Ostiense,"All-day place. Aperitivo buffet 6:30-9pm is the legitimate Ostiense move — €10 includes a drink and unlimited carbs.",Via Ostiense 68 00154 Roma,https://www.doppiozeroo.com,41.8716,12.4761,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-17 19:00:00
r0me0000-0000-0000-0000-000000000044,Porto Fluviale,Food & Drink,Italian,Ostiense,"Industrial-conversion gastropub. Roman classics plus pizza plus brunch. The aperitivo platter is enough to skip dinner.",Via del Porto Fluviale 22 00154 Roma,https://www.portofluviale.com,41.8753,12.4766,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-18 13:30:00
r0me0000-0000-0000-0000-000000000045,Lievito Roma,Food & Drink,Pizza,Garbatella,"Garbatella neighborhood pizzeria. Dough fermented 48 hours, ingredients from small producers. The locals have not yet given it up.",Via Giulio Rocco 27 00154 Roma,,41.8597,12.4814,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-18 20:00:00
r0me0000-0000-0000-0000-000000000046,INDUSTRIE FLUVIALI,Nightlife,Event Space,Ostiense,"The venue for FarCon Rome (May 4–5). Multi-level post-industrial complex on the Tiber — rooftop terraces, open halls, and flexible event spaces. Metro B Piramide is a 5 min walk. Roma Ostiense station is also walkable. Bus lines 23, 77, 83, 96 stop nearby.",Via del Porto Fluviale 35 00154 Roma,https://www.industriefluviali.it,41.8738,12.4775,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-19 21:00:00
r0me0000-0000-0000-0000-000000000047,Caffè Greco,Coffee,Cafe,Centro Storico,"One of the oldest cafés in Rome (est. 1760), on the Via Condotti shopping strip. Keats and Goethe were regulars. Order at the bar — the marble interior is the point.",Via dei Condotti 86 00187 Roma,https://anticocaffegreco.eu,41.9063,12.4818,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 09:00:00
r0me0000-0000-0000-0000-000000000048,Gran Caffè La Caffettiera,Coffee,Cafe,Centro Storico,"On Piazza di Pietra with Roman temple columns as your backdrop. Good for a mid-morning espresso between the Pantheon and Campo de' Fiori. Sit outside if you can.",Piazza di Pietra 65 00186 Roma,,41.8993,12.4782,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 09:30:00
r0me0000-0000-0000-0000-000000000049,Panificio Bonci,Food & Drink,Bakery,Prati,"The bakery side of Gabriele Bonci's operation — Roman-style pastries, exceptional pizza bianca, and a queue of locals before 8am. Different from Pizzarium; this is the breakfast stop.",Via Trionfale 36 00195 Roma,,41.9178,12.4465,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 08:00:00
r0me0000-0000-0000-0000-000000000050,Armando al Pantheon,Food & Drink,Italian,Centro Storico,"Family-run since 1961, steps from the Pantheon. The cacio e pepe is textbook. Reservations are essential — they fill every service and don't pretend otherwise.",Salita dei Crescenzi 31 00186 Roma,https://www.armandoalpantheon.it,41.8989,12.4764,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 13:00:00
r0me0000-0000-0000-0000-000000000051,Trattoria Pennestri,Food & Drink,Italian,Ostiense,"Modern Roman cooking in Ostiense — close to the venue. The pasta changes weekly, the natural wine list is serious, and the room is loud in the best way. Book ahead.",Via Giovanni da Empoli 5 00154 Roma,https://www.trattoriapennestri.it,41.8712,12.4782,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 20:00:00
r0me0000-0000-0000-0000-000000000052,Trapizzino Testaccio,Food & Drink,Street Food,Testaccio,"The original Testaccio outpost of the trapizzino empire. Triangular pizza-bianca pockets stuffed with Roman stews — get the pollo alla cacciatora and eat it standing on the street.",Via Giovanni Branca 88 00153 Roma,https://www.trapizzino.it,41.8771,12.4758,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-20 13:30:00
r0me0000-0000-0000-0000-000000000053,Antico Forno Roscioli,Food & Drink,Bakery,Centro Storico,"The bakery arm of the Roscioli family, baking in-house since the 1970s. Pizza bianca, cornetti, and focaccia from 7am. Get there early — the good stuff goes by 10.",Via dei Chiavari 34 00186 Roma,,41.8951,12.4730,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-21 08:00:00
r0me0000-0000-0000-0000-000000000054,Il Grottino a Testaccio,Food & Drink,Pizza,Testaccio,"Neighborhood pizzeria on Via Marmorata near the Tiber. Roman thin-crust, no frills, entirely reliable. A solid option before or after a night at Industrie Fluviali.",Via Marmorata 165 00153 Roma,,41.8792,12.4786,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-21 20:00:00
r0me0000-0000-0000-0000-000000000055,La Gatta Mangiona,Food & Drink,Pizza,Trastevere,"One of Rome's best Neapolitan-style pies, in a slightly inconvenient but worth-it Monteverde location. Long wine list, relaxed room, no rush. Worth the extra tram stop.",Via Federico Ozanam 30 00152 Roma,https://www.lagattamangiona.com,41.8779,12.4593,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-21 21:00:00
r0me0000-0000-0000-0000-000000000056,Salotto 42,Nightlife,Wine Bar,Centro Storico,"Aperitivo bar opposite the columns of the Temple of Hadrian. Order a Negroni, take a seat facing the ruins. Book ahead for a window table — it sells out most evenings.",Piazza di Pietra 42 00186 Roma,https://www.salotto42.it,41.8991,12.4779,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-21 19:00:00
r0me0000-0000-0000-0000-000000000057,Enoteca Ferrara,Nightlife,Wine Bar,Trastevere,"Wine bar and restaurant on Piazza Trilussa. Good for a proper sit-down dinner with a serious Italian wine list. The room in back is quieter if you want to actually talk.",Piazza Trilussa 41 00153 Roma,,41.8890,12.4701,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-22 20:00:00
